Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52WH,52WL,VOLUME,VALUE,No of trades
27-Sep-24,EQ,"1,458.10","1,463.70","1,440.50","1,458.95","1,441.50","1,443.35","1,449.40","1,700.00",831.25,"1,85,789","26,92,82,983.75","18,724"
26-Sep-24,EQ,"1,464.25","1,465.55","1,422.30","1,459.30","1,457.00","1,458.95","1,448.91","1,700.00",831.25,"2,01,991","29,26,66,387.70","18,801"
25-Sep-24,EQ,"1,487.00","1,530.00","1,455.00","1,487.45","1,460.00","1,459.30","1,468.50","1,700.00",831.25,"2,48,537","36,49,76,716.15","20,297"
24-Sep-24,EQ,"1,532.00","1,534.85","1,483.00","1,526.65","1,494.00","1,487.45","1,509.79","1,700.00",831.25,"5,63,248","85,03,86,195.05","42,370"
23-Sep-24,EQ,"1,394.00","1,559.00","1,392.00","1,387.20","1,517.10","1,526.65","1,513.95","1,700.00",831.25,"36,36,846","5,50,59,94,157.85","1,78,807"
20-Sep-24,EQ,"1,400.00","1,412.00","1,372.00","1,398.55","1,400.50","1,387.20","1,386.70","1,700.00",831.25,"1,68,561","23,37,43,078.35","15,354"
19-Sep-24,EQ,"1,403.90","1,415.55","1,382.05","1,403.90","1,392.10","1,398.55","1,394.17","1,700.00",831.25,"94,807","13,21,77,209.05","14,479"
18-Sep-24,EQ,"1,418.90","1,425.00","1,398.10","1,418.00","1,406.00","1,403.90","1,407.68","1,700.00",831.25,"51,228","7,21,12,613.10","7,028"
17-Sep-24,EQ,"1,408.00","1,424.70","1,390.15","1,406.45","1,416.25","1,418.00","1,405.32","1,700.00",831.25,"1,04,600","14,69,96,298.40","11,222"
16-Sep-24,EQ,"1,433.00","1,433.00","1,400.70","1,423.15","1,411.00","1,406.45","1,412.43","1,700.00",831.25,"57,616","8,13,78,846.30","7,186"
13-Sep-24,EQ,"1,420.95","1,435.00","1,405.20","1,413.35","1,411.55","1,423.15","1,419.50","1,700.00",831.25,"80,431","11,41,72,003.50","8,479"
12-Sep-24,EQ,"1,389.95","1,420.95","1,377.00","1,379.95","1,410.00","1,413.35","1,401.39","1,700.00",831.25,"99,460","13,93,81,922.20","9,393"
11-Sep-24,EQ,"1,386.00","1,396.65","1,371.50","1,385.95","1,389.00","1,379.95","1,382.34","1,700.00",831.25,"79,892","11,04,37,588.25","8,658"
